code_type;code_commune;geo point;geo shape;infobulle;nom;ligne;en_service;couvert;etiquette;num_sation;nb_bornettes;rue;mot_directeur;No;locations_2016;nb_places
3;;43.58223627970301, 1.5121440244148685;"{""coordinates"": [[1.512144024414869, 43.58223627970301]], ""type"": ""MultiPoint""}";"Arrêt: Clinique La Croix du Sud
107 83 L01";Clinique La Croix du Sud;107 83 L01;;;;;;;;;;
11;;43.6589758168193, 1.3121756359351306;"{""coordinates"": [[1.312175635935131, 43.6589758168193]], ""type"": ""MultiPoint""}";"Arrêt: Clinique des Cèdres
170 171 74 75";Clinique des Cèdres;170 171 74 75;;;;;;;;;;
2;;43.58463386781045, 1.394701616798769;"{""coordinates"": [[1.394701616798769, 43.58463386781045]], ""type"": ""MultiPoint""}";"Arrêt: Fronde
87";Fronde;87;;;;;;;;;;
3;;43.59729849749795, 1.5027871736054026;"{""coordinates"": [[1.502787173605403, 43.59729849749795]], ""type"": ""MultiPoint""}";"Arrêt: Clos St-Martin
106 72";Clos St-Martin;106 72;;;;;;;;;;
15;;43.5134362149358, 1.4748851193017465;"{""coordinates"": [[1.474885119301746, 43.5134362149358]], ""type"": ""MultiPoint""}";"Arrêt: Clos du Vallon
119";Clos du Vallon;119;;;;;;;;;;
15;;43.50880460632796, 1.453578012296109;"{""coordinates"": [[1.453578012296109, 43.50880460632796]], ""type"": ""MultiPoint""}";"Arrêt: Club Hippique
119";Club Hippique;119;;;;;;;;;;
2;;43.65882092054697, 1.3810339934652935;"{""coordinates"": [[1.381033993465294, 43.65882092054697]], ""type"": ""MultiPoint""}";"Arrêt: Coccinelles
70";Coccinelles;70;;;;;;;;;;
2;;43.522990441125366, 1.3583784095187286;"{""coordinates"": [[1.358378409518729, 43.522990441125366]], ""type"": ""MultiPoint""}";"Arrêt: Collège
85";Collège;85;;;;;;;;;;
7;;43.549068887654045, 1.4795181919931633;"{""coordinates"": [[1.479518191993163, 43.549068887654045]], ""type"": ""MultiPoint""}";"Arrêt: Collège André Malraux
119 L06";Collège André Malraux;119 L06;;;;;;;;;;
6;;43.64340385512812, 1.4334583460919423;"{""coordinates"": [[1.433458346091942, 43.64340385512812]], ""type"": ""MultiPoint""}";"Arrêt: Collège Rosa Parks
29 69 L10 SC36 SC41";Collège Rosa Parks;29 69 L10 SC36 SC41;;;;;;;;;;
13;;43.662470552106, 1.5042927305081248;"{""coordinates"": [[1.504292730508125, 43.662470552106]], ""type"": ""MultiPoint""}";"Arrêt: Collège St-Jean
SC11 SC16 SC19 SC20";Collège St-Jean;SC11 SC16 SC19 SC20;;;;;;;;;;
11;;43.68808555403742, 1.3233052984442395;"{""coordinates"": [[1.323305298444239, 43.68808555403742]], ""type"": ""MultiPoint""}";"Arrêt: Collège d'Aussonne
170 171 71";Collège d'Aussonne;170 171 71;;;;;;;;;;
2;;43.605901535471546, 1.4564896773368214;"{""coordinates"": [[1.456489677336821, 43.605901535471546]], ""type"": ""MultiPoint""}";"Arrêt: Colombette
23 27";Colombette;23 27;;;;;;;;;;
9;;43.51075205631559, 1.3792289299555454;"{""coordinates"": [[1.379228929955545, 43.51075205631559]], ""type"": ""MultiPoint""}";"Arrêt: Colombier
320";Colombier;320;;;;;;;;;;
2;;43.6148282912963, 1.353161725301833;"{""coordinates"": [[1.353161725301833, 43.6148282912963]], ""type"": ""MultiPoint""}";"Arrêt: Colomiers Airbus
21";Colomiers Airbus;21;;;;;;;;;;
9;;43.60559273601674, 1.3350934901106435;"{""coordinates"": [[1.335093490110643, 43.60559273601674]], ""type"": ""MultiPoint""}";"Arrêt: Colomiers Gare SNCF
55";Colomiers Gare SNCF;55;;;;;;;;;;
3;;43.60551415316969, 1.3352472984313455;"{""coordinates"": [[1.335247298431345, 43.60551415316969]], ""type"": ""MultiPoint""}";"Arrêt: Colomiers Gare SNCF
150 151 21 25 32 75 L02";Colomiers Gare SNCF;150 151 21 25 32 75 L02;;;;;;;;;;
2;;43.52430155056973, 1.4076598368698328;"{""coordinates"": [[1.407659836869833, 43.52430155056973]], ""type"": ""MultiPoint""}";"Arrêt: Commerce
50 L05";Commerce;50 L05;;;;;;;;;;
9;;43.6112946606633, 1.5319469516799866;"{""coordinates"": [[1.531946951679987, 43.6112946606633]], ""type"": ""MultiPoint""}";"Arrêt: Communauté Religieuse
103 106";Communauté Religieuse;103 106;;;;;;;;;;
9;;43.54604290986253, 1.5667788487166905;"{""coordinates"": [[1.56677884871669, 43.54604290986253]], ""type"": ""MultiPoint""}";"Arrêt: Complexe sportif Nambours
201";Complexe sportif Nambours;201;;;;;;;;;;
2;;43.588611379872745, 1.4400573096819713;"{""coordinates"": [[1.440057309681971, 43.588611379872745]], ""type"": ""MultiPoint""}";"Arrêt: Conseil Régional
44";Conseil Régional;44;;;;;;;;;;
13;;43.58450165644416, 1.4790191807703703;"{""coordinates"": [[1.47901918077037, 43.58450165644416]], ""type"": ""MultiPoint""}";"Arrêt: Corbières
SC05";Corbières;SC05;;;;;;;;;;
6;;43.66558057087892, 1.4728312426849621;"{""coordinates"": [[1.472831242684962, 43.66558057087892]], ""type"": ""MultiPoint""}";"Arrêt: Cornaudric
33 SC10 SC15";Cornaudric;33 SC10 SC15;;;;;;;;;;
9;;43.61491005285782, 1.3378450436576226;"{""coordinates"": [[1.337845043657623, 43.61491005285782]], ""type"": ""MultiPoint""}";"Arrêt: Couderc
150";Couderc;150;;;;;;;;;;
9;;43.5001843458669, 1.3035535758714474;"{""coordinates"": [[1.303553575871447, 43.5001843458669]], ""type"": ""MultiPoint""}";"Arrêt: Couloume
315";Couloume;315;;;;;;;;;;
9;;43.59868504217192, 1.4363447765326882;"{""coordinates"": [[1.436344776532688, 43.59868504217192]], ""type"": ""MultiPoint""}";"Arrêt: Cours Dillon
NCV";Cours Dillon;NCV;;;;;;;;;;
2;;43.51662730223301, 1.3261752742464565;"{""coordinates"": [[1.326175274246457, 43.51662730223301]], ""type"": ""MultiPoint""}";"Arrêt: Croix
87";Croix;87;;;;;;;;;;
11;;43.66158952371892, 1.3056782436417003;"{""coordinates"": [[1.3056782436417, 43.66158952371892]], ""type"": ""MultiPoint""}";"Arrêt: Croix d'Alliez
171 74 75";Croix d'Alliez;171 74 75;;;;;;;;;;
9;;43.63745912591738, 1.4173556439181336;"{""coordinates"": [[1.417355643918134, 43.63745912591738]], ""type"": ""MultiPoint""}";"Arrêt: Croizat
110 132";Croizat;110 132;;;;;;;;;;
2;;43.536294701538914, 1.4061790648346075;"{""coordinates"": [[1.406179064834608, 43.536294701538914]], ""type"": ""MultiPoint""}";"Arrêt: Ctre Cial Portet - Entrée 5
50 L05";Ctre Cial Portet - Entrée 5;50 L05;;;;;;;;;;
2;;43.60805118654395, 1.3932574952422232;"{""coordinates"": [[1.393257495242223, 43.60805118654395]], ""type"": ""MultiPoint""}";"Arrêt: Ctre Cial Purpan Sud
63 L02";Ctre Cial Purpan Sud;63 L02;;;;;;;;;;
9;;43.511702608263214, 1.3693768711952292;"{""coordinates"": [[1.369376871195229, 43.511702608263214]], ""type"": ""MultiPoint""}";"Arrêt: Ctre Cial Roques
117";Ctre Cial Roques;117;;;;;;;;;;
2;;43.58799305108155, 1.3530903654165864;"{""coordinates"": [[1.353090365416586, 43.58799305108155]], ""type"": ""MultiPoint""}";"Arrêt: Ctre Cial Tournefeuille
21 L03";Ctre Cial Tournefeuille;21 L03;;;;;;;;;;
2;;43.5956155676052, 1.4313460374577094;"{""coordinates"": [[1.431346037457709, 43.5956155676052]], ""type"": ""MultiPoint""}";"Arrêt: Cugnaux
13";Cugnaux;13;;;;;;;;;;
9;;43.458989206216685, 1.361048026853796;"{""coordinates"": [[1.361048026853796, 43.458989206216685]], ""type"": ""MultiPoint""}";"Arrêt: Cupidou
311 316";Cupidou;311 316;;;;;;;;;;
9;;43.548787934315136, 1.399293179355371;"{""coordinates"": [[1.399293179355371, 43.548787934315136]], ""type"": ""MultiPoint""}";"Arrêt: Damoysel
49";Damoysel;49;;;;;;;;;;
6;;43.65351008867618, 1.4998236787099253;"{""coordinates"": [[1.499823678709925, 43.65351008867618]], ""type"": ""MultiPoint""}";"Arrêt: Dancelle
42 SC11 SC16 SC19 SC20";Dancelle;42 SC11 SC16 SC19 SC20;;;;;;;;;;
15;;43.49172459645956, 1.4378626727099584;"{""coordinates"": [[1.437862672709958, 43.49172459645956]], ""type"": ""MultiPoint""}";"Arrêt: Del Riu
119";Del Riu;119;;;;;;;;;;
2;;43.593318041496914, 1.4308510124418747;"{""coordinates"": [[1.430851012441875, 43.593318041496914]], ""type"": ""MultiPoint""}";"Arrêt: Delpy
13";Delpy;13;;;;;;;;;;
2;;43.58915261265753, 1.4568627843749324;"{""coordinates"": [[1.456862784374932, 43.58915261265753]], ""type"": ""MultiPoint""}";"Arrêt: Demouilles
L09";Demouilles;L09;;;;;;;;;;
2;;43.55827550606754, 1.366093693104823;"{""coordinates"": [[1.366093693104823, 43.55827550606754]], ""type"": ""MultiPoint""}";"Arrêt: Diane
87";Diane;87;;;;;;;;;;
2;;43.576156852432476, 1.3479589006430959;"{""coordinates"": [[1.347958900643096, 43.576156852432476]], ""type"": ""MultiPoint""}";"Arrêt: Domaine
67";Domaine;67;;;;;;;;;;
9;;43.57372414945572, 1.6109263592001597;"{""coordinates"": [[1.61092635920016, 43.57372414945572]], ""type"": ""MultiPoint""}";"Arrêt: Drémil Le Colombier
103 106";Drémil Le Colombier;103 106;;;;;;;;;;
9;;43.45283285172739, 1.3377551907624328;"{""coordinates"": [[1.337755190762433, 43.45283285172739]], ""type"": ""MultiPoint""}";"Arrêt: Drouet
305";Drouet;305;;;;;;;;;;
2;;43.57242253957509, 1.4609757730262296;"{""coordinates"": [[1.46097577302623, 43.57242253957509]], ""type"": ""MultiPoint""}";"Arrêt: Dugay Trouin
44";Dugay Trouin;44;;;;;;;;;;
2;;43.63621675344619, 1.430490287522363;"{""coordinates"": [[1.430490287522363, 43.63621675344619]], ""type"": ""MultiPoint""}";"Arrêt: Dulong
15 29";Dulong;15 29;;;;;;;;;;
2;;43.51929651793185, 1.4966869990331129;"{""coordinates"": [[1.496686999033113, 43.51929651793185]], ""type"": ""MultiPoint""}";"Arrêt: Ecole Castanet
81";Ecole Castanet;81;;;;;;;;;;
2;;43.689157135004585, 1.4397264490434554;"{""coordinates"": [[1.439726449043455, 43.689157135004585]], ""type"": ""MultiPoint""}";"Arrêt: Ecole Castelginest
60";Ecole Castelginest;60;;;;;;;;;;
9;;43.51131219067661, 1.375250807517316;"{""coordinates"": [[1.375250807517316, 43.51131219067661]], ""type"": ""MultiPoint""}";"Arrêt: Ecole Roques
320";Ecole Roques;320;;;;;;;;;;
4;;43.68908799120258, 1.4159649003098203;"{""coordinates"": [[1.41596490030982, 43.68908799120258]], ""type"": ""MultiPoint""}";"Arrêt: Ecole St-Alban
113 L10 SC36";Ecole St-Alban;113 L10 SC36;;;;;;;;;;
6;;43.66861234387925, 1.500115996207068;"{""coordinates"": [[1.500115996207068, 43.66861234387925]], ""type"": ""MultiPoint""}";"Arrêt: Ecole St-Jean
73 SC11";Ecole St-Jean;73 SC11;;;;;;;;;;
9;;43.46043570552335, 1.249036543191477;"{""coordinates"": [[1.249036543191477, 43.46043570552335]], ""type"": ""MultiPoint""}";"Arrêt: Ecoles Labastidette
312";Ecoles Labastidette;312;;;;;;;;;;
10;;43.5968726525721, 1.6015002060227703;"{""coordinates"": [[1.60150020602277, 43.5968726525721]], ""type"": ""MultiPoint""}";"Arrêt: Eglise Drémil
102 106 107 SC06 SC07";Eglise Drémil;102 106 107 SC06 SC07;;;;;;;;;;
10;;43.7018279532354, 1.3696528902339535;"{""coordinates"": [[1.369652890233954, 43.7018279532354]], ""type"": ""MultiPoint""}";"Arrêt: Eglise Gagnac
130 SC32";Eglise Gagnac;130 SC32;;;;;;;;;;
6;;43.5909221419098, 1.3833732962731862;"{""coordinates"": [[1.383373296273186, 43.5909221419098]], ""type"": ""MultiPoint""}";"Arrêt: Eglise Lardenne
L03 SC03";Eglise Lardenne;L03 SC03;;;;;;;;;;
2;;43.6182438987431, 1.4366562811679535;"{""coordinates"": [[1.436656281167954, 43.6182438987431]], ""type"": ""MultiPoint""}";"Arrêt: Eglise Minimes
27 29";Eglise Minimes;27 29;;;;;;;;;;
2;;43.62621316173944, 1.4675408866623005;"{""coordinates"": [[1.467540886662301, 43.62621316173944]], ""type"": ""MultiPoint""}";"Arrêt: Eglise St-André
19";Eglise St-André;19;;;;;;;;;;
9;;43.56640200417598, 1.379511648567403;"{""coordinates"": [[1.379511648567403, 43.56640200417598]], ""type"": ""MultiPoint""}";"Arrêt: Eisenhower Ouest
53";Eisenhower Ouest;53;;;;;;;;;;
